date,url,title,category
05/04/2020,https://sport.detik.com/detiktv/d-5001129/vinales-juara-motogp-virtual-di-jerez,Vinales Juara MotoGP Virtual di Jerez,sport
01/08/2020,https://health.detik.com/berita-detikhealth/d-4850636/iuran-naik-bpjs-tawarkan-4-layanan-baru,"Iuran Naik, BPJS Tawarkan 4 Layanan Baru",health
01/06/2020,https://food.detik.com/info-sehat/d-4846994/makan-alpukat-tiap-hari-bisa-hilangkan-perut-buncit-ini-faktanya,"Makan Alpukat Tiap Hari Bisa Hilangkan Perut Buncit, Ini Faktanya!",food
01/23/2020,https://finance.detik.com/berita-ekonomi-bisnis/d-4871112/bertemu-erick-thohir-buwas-lapor-persiapan-beras-bencana,"Bertemu Erick Thohir, Buwas Lapor Persiapan Beras Bencana",finance
04/17/2020,https://finance.detik.com/berita-ekonomi-bisnis/d-4980482/mulai-1-mei-tiket-kapal-penyeberangan-cuma-bisa-dibeli-online,"Mulai 1 Mei, Tiket Kapal Penyeberangan Cuma Bisa Dibeli Online",finance
01/15/2020,https://news.detik.com/berita/d-4859305/erdogan-dan-mesut-oezil-terpilih-jadi-figur-muslim-terbaik-2019,Erdogan dan Mesut Oezil Terpilih Jadi Figur Muslim Terbaik 2019,news
04/25/2020,https://oto.detik.com/berita/d-4990645/hari-i-larangan-mudik-1181-mobil-pribadi-dan-508-bus-dipaksa-putar-balik,Hari I Larangan Mudik: 1.181 Mobil Pribadi dan 508 Bus Dipaksa Putar Balik,oto
01/26/2020,https://food.detik.com/foto-kuliner/d-4872763/keren-ibu-ini-bikin-miniatur-starbucks-hingga-supermarket-untuk-anaknya,Galeri Foto Keren! Ibu Ini Bikin Miniatur Starbucks hingga Supermarket untuk Anaknya,food
01/22/2020,https://health.detik.com/sexual-health/d-4868312/riset-ilmiah-buktikan-pukul-730-pagi-waktu-terbaik-untuk-bercinta,Riset Ilmiah Buktikan Pukul 7:30 Pagi Waktu Terbaik untuk Bercinta,health
06/09/2020,https://finance.detik.com/moneter/d-5047274/bagaimana-nasib-bitcoin-saat-pandemi-corona,Bagaimana Nasib Bitcoin Saat Pandemi Corona?,finance
01/18/2020,https://food.detik.com/berita-boga/d-4864155/sambut-tahun-tikus-yuk-mengenal-sajian-wajib-saat-imlek,"Sambut Tahun Tikus, Yuk Mengenal Sajian Wajib Saat Imlek",food
01/04/2020,https://news.detik.com/berita/d-4846749/ada-perbaikan-sambungan-jembatan-tol-cikampek-layang-arah-jakarta-padat,"Ada Perbaikan Sambungan Jembatan, Tol Cikampek Layang Arah Jakarta Padat",news
02/05/2020,https://health.detik.com/berita-detikhealth/d-4886719/langka-apotek-juga-kehabisan-stok-masker-sejak-heboh-virus-corona,Langka! Apotek Juga Kehabisan Stok Masker Sejak Heboh Virus Corona,health
01/06/2020,https://food.detik.com/foto-kuliner/d-4848629/martunis-sarbini-anak-angkat-cristiano-ronaldo-ternyata-doyan-ngopi,"Galeri Foto Martunis Sarbini, Anak Angkat Cristiano Ronaldo Ternyata Doyan Ngopi",food
05/18/2020,https://health.detik.com/berita-detikhealth/d-5019104/apa-sih-herd-immunity-corona,Apa Sih Herd Immunity Corona?,health
05/01/2020,https://health.detik.com/berita-detikhealth/d-4998702/angka-kematian-corona-di-bawah-2-persen-malaysia-segera-longgarkan-lockdown,"Angka Kematian Corona di Bawah 2 Persen, Malaysia Segera Longgarkan Lockdown",health
01/30/2020,https://travel.detik.com/international-destination/d-4878742/kisah-pilu-di-balik-julukan-hong-kong-sebagai-kota-termahal,Kisah Pilu di Balik Julukan Hong Kong sebagai Kota Termahal,travel
05/08/2020,https://finance.detik.com/berita-ekonomi-bisnis/d-5006745/transportasi-boleh-ke-luar-daerah-rk-ada-pengecualian-di-zona-psbb,"Transportasi Boleh ke Luar Daerah, RK: Ada Pengecualian di Zona PSBB",finance
02/26/2020,https://hot.detik.com/art/d-4915686/melati-suyodarmo-akan-gelar-performans-selama-12-jam-seperti-apa,"Melati Suyodarmo Akan Gelar Performans Selama 12 Jam, Seperti Apa?",hot
05/26/2020,https://finance.detik.com/foto-bisnis/d-5029294/terkini-suasana-summarecon-mall-bekasi-usai-dikunjungi-jokowi,Terkini! Suasana Summarecon Mall Bekasi Usai Dikunjungi Jokowi,finance
02/26/2020,#,Seluruh Lini PC Lenovo Tertanam Microsoft Office Asli Gratis,inet
02/08/2020,https://hot.detik.com/celeb/d-4891228/istri-chrisye-meninggal-karena-stroke,Istri Chrisye Meninggal karena Stroke,hot
05/01/2020,https://health.detik.com/berita-detikhealth/d-4998334/ilmuwan-as-prediksi-vaksin-corona-akan-tersedia-januari-tahun-depan,Ilmuwan AS Prediksi Vaksin Corona Akan Tersedia Januari Tahun Depan,health
05/18/2020,https://health.detik.com/berita-detikhealth/d-5018862/china-diprediksi-akan-alami-gelombang-kedua-virus-corona,China Diprediksi Akan Alami Gelombang Kedua Virus Corona,health
03/04/2020,https://oto.detik.com/berita/d-4924407/cabut-pembatalan-lelang-erp-pemprov-juga-dituntut-segera-lahirkan-uu-erp,"Cabut Pembatalan Lelang ERP, Pemprov Juga Dituntut Segera Lahirkan UU ERP",oto
05/17/2020,https://sport.detik.com/sport-lain/d-5018129/hore-pb-pabsi-beri-tunjangan-hari-raya-ke-lifternya,Hore! PB PABSI Beri Tunjangan Hari Raya ke Lifternya,sport
02/24/2020,https://food.detik.com/foto-kuliner/d-4912150/wouw-restoran-ini-berdiri-di-atas-kastil-berusia-200-tahun-penuh-sejarah,Galeri Foto Wouw! Restoran Ini Berdiri di Atas Kastil Berusia 200 Tahun Penuh Sejarah,food
04/10/2020,https://news.detik.com/berita/d-4972873/tipu-tipu-karyawan-swasta-raup-belasan-juta-tunggangi-isu-wabah,Tipu-tipu Karyawan Swasta Raup Belasan Juta Tunggangi Isu Wabah,news
04/22/2020,https://health.detik.com/berita-detikhealth/d-4986625/peneliti-swiss-sebut-virus-corona-menyerang-lapisan-pembuluh-darah,Peneliti Swiss Sebut Virus Corona Menyerang Lapisan Pembuluh Darah,health
04/08/2020,#,"Sambut Ramadhan, Shopee Target Peningkatan Transaksi di Atas 300%",inet
04/23/2020,https://travel.detik.com/detiktravel/d-4987998/jelang-ramadhan-rindu-rasanya-untuk-singgah-ke-masjid-azizi-di-langkat,"Jelang Ramadhan, Rindu Rasanya untuk Singgah ke Masjid Azizi di Langkat",travel
01/20/2020,https://food.detik.com/info-kuliner/d-4866173/restoran-michelin-star-ini-tolak-kembalikan-uang-rp-11-juta-milik-pengunjung,Restoran Michelin Star Ini Tolak Kembalikan Uang Rp 11 Juta Milik Pengunjung,food
06/02/2020,https://oto.detik.com/mobil/d-5036928/detik-detik-tesla-tabrak-truk-terguling-di-tengah-tol-fitur-keselamatan-diduga-gagal,"Detik-detik Tesla Tabrak Truk Terguling di Tengah Tol, Fitur Keselamatan Diduga Gagal",oto
